appid,positive_ratings,negative_ratings
212800,5951,7021
213030,466,711
213330,969,1291
213350,49,431
213390,9,61
213610,4676,9131
213650,1327,2251
213670,35896,9111
213850,3615,7731
214100,27,281
214130,88,531
214150,93,911
214170,1432,1931
214250,1361,7011
214340,7208,8401
214360,1176,4331
214420,6383,22251
214490,24534,19581
214550,471,1221
214570,188,551
214590,882,1391
214610,457,791
214630,168,1051
214700,934,6161
214730,3313,1701
214770,4881,3381
214790,812,1531
214830,1147,1721
214870,2240,6791
214910,181,2081
214950,31864,134231
214970,983,1941
215080,4413,13351
215160,1386,1341
215280,4420,21061
215390,6,61
215470,4447,13231
215510,2175,5711
215530,4993,10641
215550,155,1681
215630,492,2351
215670,1069,5181
215690,764,2561
215710,268,531
215770,50,421
215790,164,3791
215830,2061,7341
215870,154,2311
215930,454,1801
216090,336,201
216110,719,1831
216130,30,1031
216150,3629,17111
216210,55,311
216260,444,521
216290,171,121
216670,30,41
216890,1108,2771
216910,856,3331
216930,18,41
217120,63,81
217140,1436,6731
217200,3517,2311
217270,127,551
217290,142,221
217690,878,4891
217750,874,3971
217790,414,1651
217920,1657,7221
218020,50,81
218040,50,471
218060,2615,2211
218090,504,1161
218230,35968,77531
218410,2688,1021
218510,492,1911
218620,308657,565231
218640,5775,14001
218660,112,301
218680,6661,5881
218700,70,281
218740,2021,3701
218820,1511,6371
219070,10,131
219150,45809,12111
219190,545,601
219200,275,551
219340,569,2021
219640,51499,109391
219680,1847,6591
219700,447,2501
219760,150,1311
219780,2001,4411
219830,3127,6431
219890,12232,6121
219910,1674,1621
219950,553,791
219990,26805,26051
220090,902,1291
220160,1382,4231
220200,49328,51681
220240,46331,56221
220260,3962,3811
220420,10,21
220440,14820,9561
220460,641,1401
220660,547,7291
220700,3372,2101
220740,1433,1211
220780,7456,4381
220820,2050,3811
220860,3000,5811
220900,218,1251
221020,632,18781
221040,14643,39041
221100,118435,771691
221180,351,351
221260,6403,4591
221380,54090,31781
221540,1579,3541
221640,19797,6161
221680,8228,7891
221810,1702,2661
221830,266,501
221910,31538,28461
222140,322,1191
222180,21,91
222420,880,1631
222440,903,781
222480,4962,9751
222500,16,171
222520,514,3221
222640,478,1451
222730,3569,9171
222750,3279,4151
222880,92355,95701
222940,4300,5371
222980,2005,3091
223000,159,241
223100,6396,51021
223220,1229,3261
223280,49,51
223330,928,2881
